PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
42146349,A complete human pancreatic cancer genome,"Wagner J, Keskus AG, Oshima KK, Ranallo-Benavidez TR, McDaniel J, Sikic M, Lin D, Paulin LF, English AC, Sedlazeck FJ, Munding EM, Sanborn JZ, Carroll A, Chang PC, Cook DE, Shafin K, de Ligt J, Hassaine R, Cameron D, Catreux S, Lee Y, Murray L, Truong S, Brueffer C, Zimin AV, Cross E, McGowan M, Vernich M, Liss AS, Kocher JP, Stephens Z, Ahmad T, Bryant A, Dwarshuis N, He HJ, He Z, Olson ND, Thibaud-Nissen F, Antipov D, Koren S, Phillippy A, Musunuri RL, Narzisi G, Jain M, Wenger AM, Eacker S, Sahraeian SME, Boutros PC, Patel Y, Yamaguchi TN, McConnell J, Borchers M, Gerton JL, Kostos P, Guarracino A, Jehangir M, Benjamin H, Mootor MFE, Xu Y, Asri M, Miga KH, Park J, Paten B, Luo R, Zheng Z, Choi JY, Nguyen L, Vats P, Robinson DR, Vo JN, Gao S, Murtaza G, Mason CE, Cheng H, Barthel FP, Xiao C, Logsdon GA, Kolmogorov M, Zook JM.",bioRxiv [Preprint]. 2026 May 10:2026.05.01.722316. doi: 10.64898/2026.05.01.722316.,Wagner J,bioRxiv,2026,2026-05-18,PMC13174521,,10.64898/2026.05.01.722316
42146445,Spatial imprints of emergent cardiomyocyte states in the pressure-overloaded heart,"Liu Y, Coles AM, Castiglione J, Thiyagarajan VV, Clifton K, Goyal D, Wu J, Sheridan A, Vujic A, Harris KM, Manor U, Pereira TD, Fan J, Lee RT, Kosuri P.",bioRxiv [Preprint]. 2026 May 8:2026.05.04.721738. doi: 10.64898/2026.05.04.721738.,Liu Y,bioRxiv,2026,2026-05-18,PMC13174657,,10.64898/2026.05.04.721738
42096470,Comparison of unbiased metagenomic next generation sequencing to targeted multiplex diagnostic assays for the detection of respiratory viruses,"Hardick J, Anantharam R, Lu J, Salzberg SL, Rothman RE, Fenstermacher KZJ, Pekosz A, Onzia A, Nakiyingi L, Manabe YC, Kandathil AJ.",PLoS One. 2026 May 7;21(5):e0347750. doi: 10.1371/journal.pone.0347750. eCollection 2026.,Hardick J,PLoS One,2026,2026-05-07,PMC13152136,,10.1371/journal.pone.0347750
42201032,Mesenchymal Stem Cell-Derived Extracellular Vesicles and Plant-Derived Nanovesicles as Cell-Free Therapies for Thermal Burn Healing: A Systematic Review of Preclinical Evidence and Delivery Strategies,"Amarandei AH, Avadanei-Luca S, Bulgaru-Iliescu AI, Moraru DC, Solovastru DFG, Constantinescu MC, Tatar R, Poroch V, Gheuca Solovastru L, Pertea M.",Med Sci (Basel). 2026 May 5;14(2):240. doi: 10.3390/medsci14020240.,Amarandei AH,Med Sci (Basel),2026,2026-05-27,PMC13214687,,10.3390/medsci14020240
42147184,"Rare coding variant architecture and gene discovery from 130,000 sequenced cases of atrial fibrillation","Jurgens SJ, Enzan N, Dinsmore IR, Choi SH, Luo J, Lipov A, Hartle C, Wang X, Marston NA, Weng LC, Melloni GE, Chalazan B, Gray MP, Pirruccello JP, Diaz A, Chaffin MD, Ornelas-Loredo A, Tang O, Darbar FA, Kany S, Chen Y, von Falkenhausen AS, Morrison AC, Natale A, Tveit A, Geelhoed B, Cade B, Van Wagoner DR, Haase D, Soliman EZ, Davogustto GE, Calkins H, Anderson JL, Brody JA, Barnard J, Hokanson JE, Smith JD, Bis JC, Young K, Johnson LS, Long L, Risch L, Gula LJ, Kwee LC, Kühne M, Preuss M, Gupta N, Nafissi NA, Smith NL, Nilsson PM, van der Harst P, Wells QS, Judy RL, Schnabel RB, Johnson R, Smit RA, Gabriel S, Knight S, Furukawa T, Min YI, Yoneda ZT, Laksman ZW, Alonso A, Psaty BM, Albert CM, Arking DE, Roden DM, Chasman DI, Rader DJ, Conen D, McManus DD, Fatkin D, Boerwinkle E, Marcus GM, Christophersen IE, Smith JG, Roberts JD, Raffield LM, Shoemaker MB, Cho MH, Cutler MJ, Chung MK, Olesen MS, Sinner MF, Sotoodehnia N, Kirchhof P, Loos RJ, Nazarian S, Mohanty S, Damrauer SM, Kaab S, Heckbert SR, Redline S, Shah SH, Tanaka T, Ebana Y; Regeneron Genetics Center; NHLBI Trans-Omics for Precision Medicine (TOPMed) Consortium; Lubitz SA, Lunetta KL, et al.",Res Sq [Preprint]. 2026 May 4:rs.3.rs-9191644. doi: 10.21203/rs.3.rs-9191644/v1.,Jurgens SJ,Res Sq,2026,2026-05-18,PMC13174801,,10.21203/rs.3.rs-9191644/v1
42065925,Evidence of off-target probe binding affecting 10x Genomics Xenium gene panels compromise accuracy of spatial transcriptomic profiling,"Hallinan C, Ji HJ, Tsou E, Salzberg SL, Fan J.",Elife. 2026 May 1;14:RP107070. doi: 10.7554/eLife.107070.,Hallinan C,Elife,2026,2026-05-01,PMC13134852,,10.7554/eLife.107070
42001480,plasmaCHORD: A Machine Learning Approach to Distinguish Clonal Hematopoiesis-Derived Variants in Liquid Biopsies from Patients with Solid Tumors,"Canzoniero JV, Rabizadeh D, Ziakas I, Wehr J, Balan A, Jamali A, Landon BV, Sivapalan L, Scott S, Pereira G, Lam VK, Hann CL, Lovly CM, Tao J, Forde PM, Murray JC, Sausen M, Meijer GA, Vink GR, Fijneman RJA; MEDOCC Group; Velculescu VE, Phallen J, Scharpf RB, Anagnostou V.",Clin Cancer Res. 2026 May 1;32(9):1729-1744. doi: 10.1158/1078-0432.CCR-25-0976.,Canzoniero JV,Clin Cancer Res,2026,2026-04-19,PMC13133610,,10.1158/1078-0432.CCR-25-0976
42195105,Integrating Negative-Pressure Wound Therapy in the Therapeutic Protocol of Extensive Pediatric Burns: Current Practice and Further Treatment Decision Algorithm,"Nacea DI, Enescu DM, Pertea M, Mitrache P, Gavrila IM, Tatar R.",Medicina (Kaunas). 2026 Apr 30;62(5):852. doi: 10.3390/medicina62050852.,Nacea DI,Medicina (Kaunas),2026,2026-05-27,PMC13208412,,10.3390/medicina62050852
41521844,Human Immunodeficiency Virus-Associated Proteomic Signature of Myocardial Fibrosis and Incident Heart Failure,"Peterson TE, Hahn VS, Moaddel R, Zhu M, Fan J, De S, Haberlen SA, Palella FJ, Plankey M, Bader JS, Lima JAC, Gerszten RE, Rotter JI, Kirk GD, Piggott DA, Ferrucci L, Margolick JB, Brown TT, Post WS, Wu KC.",J Infect Dis. 2026 Apr 29;233(4):e937-e947. doi: 10.1093/infdis/jiag013.,Peterson TE,J Infect Dis,2026,2026-01-12,PMC12985786,NIHMS2149792,10.1093/infdis/jiag013
42048161,Steroid hormone antagonism affords vascular protection in a mouse model of vascular Ehlers-Danlos syndrome,"Juzwiak EE, Bowen CJ, Edwards R, Restrepo L, Lee S, Parks CA, Zeng A, Black MM, Reyes Gaido OE, Bramel EE, Shigaki DT, Beer MA, Bellini C, Dietz HC, Gallo MacFarlane E.",JCI Insight. 2026 Apr 28;11(12):e198202. doi: 10.1172/jci.insight.198202. eCollection 2026 Jun 22.,Juzwiak EE,JCI Insight,2026,2026-04-28,PMC13313488,,10.1172/jci.insight.198202
